                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    106,                 1.4223,                 1.0314,                  1.455,                0.83302,                0.77291,                 0.8438,                0.47704,                 1.6072,                 1.2236,                 1.8453,              0.0006272,              0.0006272,              0.0006272
                    107,                 1.4318,                 1.0893,                 1.5196,                0.83302,                0.77291,                 0.8438,                0.47704,                 1.6072,                 1.2236,                 1.8453,               0.000614,               0.000614,               0.000614
                    108,                  1.438,                  1.149,                 1.6165,                0.83302,                0.77291,                 0.8438,                0.47704,                 1.6072,                 1.2236,                 1.8453,              0.0006008,              0.0006008,              0.0006008
                    109,                 1.4545,                 1.0549,                 1.5804,                 0.8572,                0.78873,                0.86161,                0.46616,                 1.6012,                 1.1693,                 1.8366,              0.0005876,              0.0005876,              0.0005876
                    110,                 1.4807,                 1.1115,                 1.5553,                 0.8572,                0.78873,                0.86161,                0.46616,                 1.6012,                 1.1693,                 1.8366,              0.0005744,              0.0005744,              0.0005744
                    111,                 1.4855,                 1.0378,                 1.6064,                0.90394,                0.79529,                0.88771,                  0.494,                 1.5984,                 1.0742,                 1.8275,              0.0005612,              0.0005612,              0.0005612
                    112,                 1.4641,                 1.0458,                 1.5324,                0.90394,                0.79529,                0.88771,                  0.494,                 1.5984,                 1.0742,                 1.8275,               0.000548,               0.000548,               0.000548
                    113,                 1.3627,                 0.9546,                  1.459,                0.90785,                0.83254,                0.91828,                  0.512,                 1.5954,                 1.0478,                 1.8306,              0.0005348,              0.0005348,              0.0005348
                    114,                  1.378,                0.95794,                 1.4632,                0.90785,                0.83254,                0.91828,                  0.512,                 1.5954,                 1.0478,                 1.8306,              0.0005216,              0.0005216,              0.0005216
                    115,                 1.4365,                  1.056,                 1.6419,                0.90785,                0.83254,                0.91828,                  0.512,                 1.5954,                 1.0478,                 1.8306,              0.0005084,              0.0005084,              0.0005084
                    116,                 1.4805,                 0.9994,                 1.5293,                0.90301,                0.84507,                0.89306,                 0.5011,                 1.6407,                 1.0336,                 1.8487,              0.0004952,              0.0004952,              0.0004952
                    117,                 1.4518,                 1.0104,                 1.5159,                0.90301,                0.84507,                0.89306,                 0.5011,                 1.6407,                 1.0336,                 1.8487,               0.000482,               0.000482,               0.000482
                    118,                 1.5004,                0.93259,                 1.4076,                0.86695,                0.85915,                0.89497,                 0.4781,                 1.6887,                 1.0636,                 1.8934,              0.0004688,              0.0004688,              0.0004688
                    119,                  1.437,                 1.0367,                 1.5869,                0.86695,                0.85915,                0.89497,                 0.4781,                 1.6887,                 1.0636,                 1.8934,              0.0004556,              0.0004556,              0.0004556
                    120,                 1.4479,                 1.0189,                 1.5733,                 0.8558,                0.87324,                0.88803,                0.48371,                 1.6685,                 1.0902,                 1.8762,              0.0004424,              0.0004424,              0.0004424
                    121,                 1.4095,                0.94707,                 1.5272,                 0.8558,                0.87324,                0.88803,                0.48371,                 1.6685,                 1.0902,                 1.8762,              0.0004292,              0.0004292,              0.0004292
                    122,                 1.3663,                0.97363,                 1.5624,                0.80717,                0.88732,                 0.8757,                0.49272,                 1.6043,                 1.0689,                 1.8311,               0.000416,               0.000416,               0.000416
                    123,                 1.3799,                0.98058,                 1.4909,                0.80717,                0.88732,                 0.8757,                0.49272,                 1.6043,                 1.0689,                 1.8311,              0.0004028,              0.0004028,              0.0004028
                    124,                 1.3317,                0.93803,                 1.4986,                0.80717,                0.88732,                 0.8757,                0.49272,                 1.6043,                 1.0689,                 1.8311,              0.0003896,              0.0003896,              0.0003896
                    125,                 1.3981,                0.93682,                 1.4434,                 0.7853,                0.87324,                 0.8652,                0.48519,                 1.6224,                 1.0812,                  1.828,              0.0003764,              0.0003764,              0.0003764
                    126,                 1.4147,                0.95693,                 1.4678,                 0.7853,                0.87324,                 0.8652,                0.48519,                 1.6224,                 1.0812,                  1.828,              0.0003632,              0.0003632,              0.0003632
                    127,                 1.3366,                0.96439,                 1.5256,                0.85771,                0.83099,                0.87393,                0.48789,                 1.6522,                 1.0453,                  1.832,                0.00035,                0.00035,                0.00035
                    128,                 1.3125,                0.89361,                 1.3634,                0.85771,                0.83099,                0.87393,                0.48789,                 1.6522,                 1.0453,                  1.832,              0.0003368,              0.0003368,              0.0003368
                    129,                 1.3952,                 0.9447,                 1.4372,                0.85892,                0.85751,                0.89329,                0.50556,                 1.6769,                 1.0039,                 1.8449,              0.0003236,              0.0003236,              0.0003236
                    130,                 1.2874,                0.92075,                 1.4515,                0.85892,                0.85751,                0.89329,                0.50556,                 1.6769,                 1.0039,                 1.8449,              0.0003104,              0.0003104,              0.0003104
                    131,                 1.3865,                0.94742,                 1.5107,                0.85892,                0.85751,                0.89329,                0.50556,                 1.6769,                 1.0039,                 1.8449,              0.0002972,              0.0002972,              0.0002972
                    132,                 1.3886,                0.90861,                 1.4282,                0.90868,                 0.8409,                0.92503,                0.49938,                 1.7081,                 1.0228,                 1.8769,               0.000284,               0.000284,               0.000284
                    133,                 1.3639,                 0.9244,                 1.3932,                0.90868,                 0.8409,                0.92503,                0.49938,                 1.7081,                 1.0228,                 1.8769,              0.0002708,              0.0002708,              0.0002708
                    134,                 1.3163,                 1.0238,                 1.4775,                0.90713,                 0.8169,                  0.923,                0.49373,                 1.7006,                 1.0147,                  1.876,              0.0002576,              0.0002576,              0.0002576
                    135,                 1.3511,                0.97339,                  1.432,                0.90713,                 0.8169,                  0.923,                0.49373,                 1.7006,                 1.0147,                  1.876,              0.0002444,              0.0002444,              0.0002444
                    136,                 1.3272,                0.94816,                 1.5108,                0.93495,                0.80981,                0.92263,                0.50297,                 1.6655,                0.98792,                 1.8669,              0.0002312,              0.0002312,              0.0002312
                    137,                 1.3225,                0.93536,                 1.3662,                0.93495,                0.80981,                0.92263,                0.50297,                 1.6655,                0.98792,                 1.8669,               0.000218,               0.000218,               0.000218
                    138,                 1.3496,                0.91413,                  1.411,                0.92083,                0.81914,                0.92306,                0.51113,                 1.6499,                0.96497,                 1.8621,              0.0002048,              0.0002048,              0.0002048
                    139,                 1.3104,                0.84817,                 1.3574,                0.92083,                0.81914,                0.92306,                0.51113,                 1.6499,                0.96497,                 1.8621,              0.0001916,              0.0001916,              0.0001916
                    140,                 1.4089,                 1.0225,                 1.5971,                0.92083,                0.81914,                0.92306,                0.51113,                 1.6499,                0.96497,                 1.8621,              0.0001784,              0.0001784,              0.0001784
                    141,                 1.3807,                0.97407,                  1.684,                0.93358,                0.83099,                0.92751,                0.51843,                 1.6202,                0.94567,                 1.8381,              0.0001652,              0.0001652,              0.0001652
                    142,                 1.4222,                 1.0038,                 1.7781,                0.93358,                0.83099,                0.92751,                0.51843,                 1.6202,                0.94567,                 1.8381,               0.000152,               0.000152,               0.000152
                    143,                 1.3558,                 1.0072,                 1.7032,                0.92646,                0.83099,                0.92326,                0.50949,                 1.6231,                0.93824,                 1.8485,              0.0001388,              0.0001388,              0.0001388
                    144,                 1.3192,                0.94943,                 1.5582,                0.92646,                0.83099,                0.92326,                0.50949,                 1.6231,                0.93824,                 1.8485,              0.0001256,              0.0001256,              0.0001256
                    145,                 1.2601,                0.91005,                 1.5462,                0.93591,                0.82275,                0.92161,                 0.5108,                 1.6089,                0.94624,                 1.8388,              0.0001124,              0.0001124,              0.0001124
                    146,                 1.3178,                0.95523,                 1.6081,                0.93591,                0.82275,                0.92161,                 0.5108,                 1.6089,                0.94624,                 1.8388,               9.92e-05,               9.92e-05,               9.92e-05
                    147,                 1.3538,                0.93821,                 1.6135,                0.93591,                0.82275,                0.92161,                 0.5108,                 1.6089,                0.94624,                 1.8388,                8.6e-05,                8.6e-05,                8.6e-05
                    148,                 1.2494,                0.87457,                 1.4509,                0.92726,                 0.8169,                0.92523,                0.51089,                 1.6069,                0.95348,                 1.8336,               7.28e-05,               7.28e-05,               7.28e-05
                    149,                 1.2506,                0.88485,                 1.5125,                0.92726,                 0.8169,                0.92523,                0.51089,                 1.6069,                0.95348,                 1.8336,               5.96e-05,               5.96e-05,               5.96e-05
                    150,                 1.3504,                0.91251,                 1.6087,                0.92669,                 0.8169,                0.92509,                0.51585,                 1.6026,                0.95879,                 1.8311,               4.64e-05,               4.64e-05,               4.64e-05
