                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     98,                 1.0377,                0.94692,                 1.1699,                0.87933,                0.77647,                0.92281,                0.67183,                0.97851,                 0.8419,                 1.1636,              0.0007328,              0.0007328,              0.0007328
                     99,                 1.0282,                0.92016,                 1.1155,                0.87573,                0.78762,                0.92473,                0.66971,                0.97677,                0.83045,                 1.1583,              0.0007196,              0.0007196,              0.0007196
                    100,                 1.0386,                0.90937,                 1.1291,                0.87573,                0.78762,                0.92473,                0.66971,                0.97677,                0.83045,                 1.1583,              0.0007064,              0.0007064,              0.0007064
                    101,                 1.0164,                0.93641,                 1.1736,                0.89727,                0.77064,                0.92712,                0.67111,                0.95674,                 0.8135,                 1.1524,              0.0006932,              0.0006932,              0.0006932
                    102,                0.98288,                 0.8981,                 1.1392,                0.89727,                0.77064,                0.92712,                0.67111,                0.95674,                 0.8135,                 1.1524,                0.00068,                0.00068,                0.00068
                    103,                 1.0591,                0.91545,                 1.1443,                0.83273,                0.84925,                0.93237,                0.66999,                0.95638,                0.80863,                 1.1526,              0.0006668,              0.0006668,              0.0006668
                    104,                0.99242,                0.91541,                 1.1215,                0.87047,                0.81176,                0.93072,                0.67198,                0.94888,                0.81612,                 1.1516,              0.0006536,              0.0006536,              0.0006536
                    105,                0.97941,                0.90054,                 1.1132,                0.87047,                0.81176,                0.93072,                0.67198,                0.94888,                0.81612,                 1.1516,              0.0006404,              0.0006404,              0.0006404
                    106,                 1.0123,                0.89762,                 1.1245,                0.91333,                0.80586,                0.93301,                0.67672,                0.94016,                0.80443,                 1.1528,              0.0006272,              0.0006272,              0.0006272
                    107,                0.95386,                0.87997,                 1.1095,                0.91333,                0.80586,                0.93301,                0.67672,                0.94016,                0.80443,                 1.1528,               0.000614,               0.000614,               0.000614
                    108,                 1.0472,                 0.9275,                 1.1107,                0.89601,                0.81096,                0.93491,                0.68293,                 0.9509,                0.78801,                 1.1573,              0.0006008,              0.0006008,              0.0006008
                    109,                 1.0193,                0.93414,                 1.1686,                0.89601,                0.81096,                0.93491,                0.68293,                 0.9509,                0.78801,                 1.1573,              0.0005876,              0.0005876,              0.0005876
                    110,                  1.004,                0.86808,                 1.0966,                0.87811,                0.84755,                0.93657,                0.68502,                0.95345,                0.78393,                 1.1592,              0.0005744,              0.0005744,              0.0005744
                    111,                0.98458,                0.88055,                 1.1178,                0.87811,                0.84755,                0.93657,                0.68502,                0.95345,                0.78393,                 1.1592,              0.0005612,              0.0005612,              0.0005612
                    112,                 1.0086,                0.87012,                  1.114,                0.86826,                0.87647,                0.93774,                0.68972,                0.95547,                0.78614,                 1.1588,               0.000548,               0.000548,               0.000548
                    113,                 1.0057,                0.89698,                 1.1329,                0.85345,                0.86471,                0.93806,                0.69236,                0.95773,                0.79311,                 1.1553,              0.0005348,              0.0005348,              0.0005348
                    114,                 1.0096,                 0.9078,                 1.1735,                0.85345,                0.86471,                0.93806,                0.69236,                0.95773,                0.79311,                 1.1553,              0.0005216,              0.0005216,              0.0005216
                    115,                0.97845,                0.84971,                 1.1014,                0.90903,                0.82292,                0.93417,                0.68623,                0.94903,                0.78341,                 1.1495,              0.0005084,              0.0005084,              0.0005084
                    116,                 1.0029,                0.90694,                 1.1156,                0.90903,                0.82292,                0.93417,                0.68623,                0.94903,                0.78341,                 1.1495,              0.0004952,              0.0004952,              0.0004952
                    117,                 1.0284,                 0.8861,                 1.1027,                0.84134,                0.85294,                0.93444,                0.69196,                0.94495,                0.77255,                 1.1505,               0.000482,               0.000482,               0.000482
                    118,                0.97049,                0.86764,                 1.1121,                0.84134,                0.85294,                0.93444,                0.69196,                0.94495,                0.77255,                 1.1505,              0.0004688,              0.0004688,              0.0004688
                    119,                0.93273,                0.88064,                  1.088,                0.85096,                0.86471,                0.93329,                0.68559,                0.94226,                0.79198,                 1.1499,              0.0004556,              0.0004556,              0.0004556
                    120,                0.98627,                0.91488,                 1.1498,                0.88749,                0.83523,                0.93244,                0.68439,                0.94454,                0.79164,                 1.1489,              0.0004424,              0.0004424,              0.0004424
                    121,                 1.0355,                0.92464,                  1.151,                0.88749,                0.83523,                0.93244,                0.68439,                0.94454,                0.79164,                 1.1489,              0.0004292,              0.0004292,              0.0004292
                    122,                 1.0043,                0.87159,                 1.1096,                 0.9078,                0.83529,                 0.9404,                0.68759,                0.93975,                0.78153,                 1.1455,               0.000416,               0.000416,               0.000416
                    123,                0.99773,                0.87657,                 1.1189,                 0.9078,                0.83529,                 0.9404,                0.68759,                0.93975,                0.78153,                 1.1455,              0.0004028,              0.0004028,              0.0004028
                    124,                0.99986,                0.89662,                 1.1557,                0.92171,                  0.831,                0.94426,                0.68803,                0.93461,                0.77403,                  1.144,              0.0003896,              0.0003896,              0.0003896
                    125,                 1.0153,                0.89602,                 1.1224,                0.92171,                  0.831,                0.94426,                0.68803,                0.93461,                0.77403,                  1.144,              0.0003764,              0.0003764,              0.0003764
                    126,                0.95446,                0.87811,                 1.1221,                0.92335,                0.83529,                0.94629,                0.69063,                0.93912,                0.77672,                 1.1485,              0.0003632,              0.0003632,              0.0003632
                    127,                0.92563,                0.87807,                 1.1331,                0.92335,                0.83529,                0.94629,                0.69063,                0.93912,                0.77672,                 1.1485,                0.00035,                0.00035,                0.00035
                    128,                0.97756,                0.84862,                 1.0841,                0.91539,                0.82732,                 0.9486,                0.69153,                0.94001,                0.78435,                 1.1458,              0.0003368,              0.0003368,              0.0003368
                    129,                 0.9851,                0.91915,                 1.1641,                0.92059,                0.82353,                0.94831,                 0.6952,                0.94314,                0.78407,                 1.1471,              0.0003236,              0.0003236,              0.0003236
                    130,                0.95039,                0.82903,                 1.0819,                0.92059,                0.82353,                0.94831,                 0.6952,                0.94314,                0.78407,                 1.1471,              0.0003104,              0.0003104,              0.0003104
                    131,                0.99885,                0.87095,                 1.1208,                0.89459,                0.84866,                0.94747,                0.69709,                0.93809,                0.77207,                 1.1461,              0.0002972,              0.0002972,              0.0002972
                    132,                0.98646,                0.86409,                    1.1,                0.89459,                0.84866,                0.94747,                0.69709,                0.93809,                0.77207,                 1.1461,               0.000284,               0.000284,               0.000284
                    133,                0.96355,                0.84186,                 1.0873,                0.90082,                0.85882,                0.94979,                 0.7013,                0.93638,                0.76369,                 1.1488,              0.0002708,              0.0002708,              0.0002708
                    134,                0.97408,                0.86336,                 1.1033,                0.90082,                0.85882,                0.94979,                 0.7013,                0.93638,                0.76369,                 1.1488,              0.0002576,              0.0002576,              0.0002576
                    135,                0.97302,                0.84121,                 1.1076,                0.89057,                0.86471,                0.94891,                0.70287,                0.93217,                 0.7545,                 1.1438,              0.0002444,              0.0002444,              0.0002444
                    136,                0.96345,                0.82759,                 1.0824,                 0.8891,                0.88235,                0.95022,                 0.7068,                0.92777,                0.75276,                 1.1446,              0.0002312,              0.0002312,              0.0002312
                    137,                0.97153,                0.86378,                 1.1126,                 0.8891,                0.88235,                0.95022,                 0.7068,                0.92777,                0.75276,                 1.1446,               0.000218,               0.000218,               0.000218
                    138,                0.95176,                0.85335,                  1.111,                0.89548,                0.87647,                0.95042,                0.70544,                0.92709,                0.75497,                 1.1438,              0.0002048,              0.0002048,              0.0002048
                    139,                 0.9601,                0.86029,                 1.1054,                0.89548,                0.87647,                0.95042,                0.70544,                0.92709,                0.75497,                 1.1438,              0.0001916,              0.0001916,              0.0001916
                    140,                 1.0048,                0.88067,                 1.1225,                0.90099,                0.85649,                 0.9481,                0.70152,                0.92167,                0.75334,                  1.141,              0.0001784,              0.0001784,              0.0001784
                    141,                0.87038,                0.81051,                 1.0764,                0.90099,                0.85649,                 0.9481,                0.70152,                0.92167,                0.75334,                  1.141,              0.0001652,              0.0001652,              0.0001652
                    142,                0.91739,                0.83799,                 1.0654,                0.90471,                0.89358,                0.95136,                 0.7132,                0.88665,                 0.7537,                 1.1152,               0.000152,               0.000152,               0.000152
                    143,                0.88567,                0.85202,                 1.0941,                0.90471,                0.89358,                0.95136,                 0.7132,                0.88665,                 0.7537,                 1.1152,              0.0001388,              0.0001388,              0.0001388
                    144,                0.86937,                0.79982,                 1.0685,                0.86857,                0.87647,                0.94561,                0.70996,                0.88305,                0.76654,                 1.1107,              0.0001256,              0.0001256,              0.0001256
                    145,                0.89592,                  0.819,                 1.0687,                0.84207,                0.87819,                0.94241,                0.70635,                0.87078,                 0.7547,                 1.0997,              0.0001124,              0.0001124,              0.0001124
                    146,                0.92971,                 0.8251,                 1.0891,                0.84207,                0.87819,                0.94241,                0.70635,                0.87078,                 0.7547,                 1.0997,               9.92e-05,               9.92e-05,               9.92e-05
                    147,                0.93132,                0.81184,                 1.0676,                0.79536,                0.91451,                0.94006,                0.70183,                0.87207,                0.74981,                 1.1003,                8.6e-05,                8.6e-05,                8.6e-05
                    148,                0.87061,                0.77693,                 1.0416,                0.79536,                0.91451,                0.94006,                0.70183,                0.87207,                0.74981,                 1.1003,               7.28e-05,               7.28e-05,               7.28e-05
                    149,                0.89926,                0.78784,                 1.0924,                0.89124,                0.81948,                0.94441,                0.70602,                0.88188,                0.75582,                 1.1083,               5.96e-05,               5.96e-05,               5.96e-05
                    150,                0.94601,                0.82126,                 1.0719,                0.89124,                0.81948,                0.94441,                0.70602,                0.88188,                0.75582,                 1.1083,               4.64e-05,               4.64e-05,               4.64e-05
